"Marca temporal","1. Carrera:","2. Edad (Solo números):","3. Sexo:","4. Promedio Ponderado Acumulado (PPA estimado - Ej. 68.5):","5. Horas semanales estimadas para estudio autónomo de Estadística II:","6. Principal dispositivo con el que accederá a clases y aula virtual:","7. Calidad y estabilidad de su conexión a Internet:","8. Nivel de dominio general en Microsoft Excel:","9. Dominio específico con Tablas Dinámicas en Excel:","11. ¿Utiliza herramientas de Inteligencia Artificial (ChatGPT, Gemini, Claude) para estudiar?:","12. Valoración de las actividades de activación: [Las lecciones (Análisis Combinatorio y Probabilidades) tuvieron una estructura clara e intuitiva.]","12. Valoración de las actividades de activación: [La teoría presentada fue suficiente para resolver los ejercicios propuestos.]","12. Valoración de las actividades de activación: [Navegar por las páginas de la lección en Moodle me resultó fácil.]","12. Valoración de las actividades de activación: [El tiempo destinado para completar la sección de activación fue adecuado.]","13. La dificultad del examen diagnóstico fue:","14. El tiempo disponible para resolver el examen diagnóstico fue suficiente.","15. ¿Qué parte del examen diagnóstico le resultó más difícil?","16. Para la entrega de los prácticos, ¿qué modalidad prefiere?","17. En general, ¿qué tan satisfecho está con la sección de activación de conocimientos previos?","18. Comentarios, necesidades particulares o expectativas para Estadística II:"
"2026/08/21 6:56:49 p. m. GMT-4","Auditoría / Contaduría Pública","20","Femenino","85","Menos de 3 horas semanales","Computadora de escritorio (PC) en casa","Buena (WiFi con desconexiones ocasionales)","Básico (Ingreso de datos, sumas simples, dar formato)","Conozco el concepto pero me cuesta crearlas","Ocasionalmente para dudas puntuales","4 (Muy de acuerdo)","2","4 (Muy de acuerdo)","3","Adecuada","2","Comprender lo que se pedía","Resolver el práctico en plataforma y enviar PDF con desarrollo","2","Un repaso de estadistica 1"
"2026/08/23 4:27:27 p. m. GMT-4","Auditoría / Contaduría Pública","20","Femenino","92","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Buena (WiFi con desconexiones ocasionales)","Avanzado (Tablas dinámicas, gráficos, funciones estadísticas)","Sé crear tablas dinámicas y segmentaciones con soltura","Ocasionalmente para dudas puntuales","3","3","4 (Muy de acuerdo)","4 (Muy de acuerdo)","Adecuada","3","Ninguna","Resolver el práctico en plataforma y enviar PDF con desarrollo","3","Quisiera que haiga variedad de ejercicios con diferentes casos en cada tema"
"2026/08/23 9:31:20 p. m. GMT-4","Auditoría / Contaduría Pública","19","Masculino","92","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Buena (WiFi con desconexiones ocasionales)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Conozco el concepto pero me cuesta crearlas","Ocasionalmente para dudas puntuales","3","2","4 (Muy de acuerdo)","4 (Muy de acuerdo)","Adecuada","4","Comprender lo que se pedía","Me es indiferente","4","algunas cosas del examen o no las avance o no lo entendi, por todo lo demas muy bien la modalidad"
"2026/08/23 11:31:11 p. m. GMT-4","Auditoría / Contaduría Pública","21","Femenino","81","Entre 3 y 6 horas semanales","Smartphone (Teléfono celular)","Regular (Uso principal de megas / datos móviles)","Básico (Ingreso de datos, sumas simples, dar formato)","No las he utilizado nunca","Ocasionalmente para dudas puntuales","3","2","4 (Muy de acuerdo)","4 (Muy de acuerdo)","Alta","3","Ninguna","Trabajar únicamente en plataforma, sin envío de PDF","4","VOLVER A REPASAR LO TEMAS DE ESTADISTICA 1 , MOTIVO POR EL CUAL NO TODOS COMO MI CASO HEMOS AVANZADO ALGUNAS COSAS COMO SU AUTOEVALUACION TEMAS ASI "
"2026/08/24 6:10:19 p. m. GMT-4","Auditoría / Contaduría Pública","20","Femenino","77","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Excelente y estable (Fibra óptica / WiFi sin cortes)","Básico (Ingreso de datos, sumas simples, dar formato)","Sé crear tablas dinámicas y segmentaciones con soltura","Ocasionalmente para dudas puntuales","2","4 (Muy de acuerdo)","4 (Muy de acuerdo)","4 (Muy de acuerdo)","Adecuada","4","Comprender lo que se pedía","Resolver el práctico en plataforma y enviar PDF con desarrollo","4","Me gustaría que aprendamos más más fórmulas bien y luego llevarlo a los programas y ver si como somos buenos en mano también en práctica en las computadoras."
"2026/08/25 10:25:53 a. m. GMT-4","Auditoría / Contaduría Pública","19","Masculino","94","Entre 3 y 6 horas semanales","Computadora portátil (Laptop) propia","Buena (WiFi con desconexiones ocasionales)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Sé crear tablas dinámicas y segmentaciones con soltura","Ocasionalmente para dudas puntuales","4 (Muy de acuerdo)","4 (Muy de acuerdo)","3","4 (Muy de acuerdo)","Adecuada","4","Resolver el examen en la plataforma","Resolver el práctico en plataforma y enviar PDF con desarrollo","4","Desarrollar conocimiento sobre las probabilidades y reforzar mis conocimientos de estadística I"
"2026/08/25 4:38:09 p. m. GMT-4","Auditoría / Contaduría Pública","21","Femenino","80","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Excelente y estable (Fibra óptica / WiFi sin cortes)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Conozco el concepto pero me cuesta crearlas","Frecuentemente como tutor de apoyo y consultas","4 (Muy de acuerdo)","3","4 (Muy de acuerdo)","4 (Muy de acuerdo)","Adecuada","4","Ninguna","Resolver el práctico en plataforma y enviar PDF con desarrollo","4","La verdad no estoy segura "
"2026/08/25 4:55:50 p. m. GMT-4","Auditoría / Contaduría Pública","19","Masculino","89","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Regular (Uso principal de megas / datos móviles)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Sé crear tablas dinámicas y segmentaciones con soltura","Frecuentemente como tutor de apoyo y consultas","3","3","3","3","Adecuada","4","Resolver el examen en la plataforma","Trabajar únicamente en plataforma, sin envío de PDF","3",""
"2026/08/26 10:34:57 p. m. GMT-4","Auditoría / Contaduría Pública","26","Femenino","68.5","Menos de 3 horas semanales","Smartphone (Teléfono celular)","Regular (Uso principal de megas / datos móviles)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Sé crear tablas dinámicas y segmentaciones con soltura","Raras veces","2","3","4 (Muy de acuerdo)","3","Muy baja","4","Comprender lo que se pedía","Resolver el práctico en plataforma y enviar PDF con desarrollo","4","que los ejemplos sean muy claros,y que cada concepto sea profundizado bien oh el tema a avanzar  "
"2026/08/27 9:21:50 p. m. GMT-4","Auditoría / Contaduría Pública","19","Femenino","91","Entre 3 y 6 horas semanales","Computadora portátil (Laptop) propia","Excelente y estable (Fibra óptica / WiFi sin cortes)","Intermedio (Funciones promedio, si, buscarv, gráficos)","Sé crear tablas dinámicas y segmentaciones con soltura","Ocasionalmente para dudas puntuales","4 (Muy de acuerdo)","4 (Muy de acuerdo)","3","4 (Muy de acuerdo)","Baja","4","Ninguna","Me es indiferente","4",""
"2026/08/29 9:03:39 p. m. GMT-4","Auditoría / Contaduría Pública","23","Femenino","74","Menos de 3 horas semanales","Computadora de escritorio (PC) en casa","Buena (WiFi con desconexiones ocasionales)","Básico (Ingreso de datos, sumas simples, dar formato)","Conozco el concepto pero me cuesta crearlas","Ocasionalmente para dudas puntuales","2","4 (Muy de acuerdo)","4 (Muy de acuerdo)","1 (Muy en desacuerdo)","Adecuada","3","Comprender lo que se pedía","Me es indiferente","4","por el momento estoy satisfecho lo entiendo  vamos a ver sii lo entendemos sigue ya que todavia no estamos haciendo practico solo teorico"
"2026/08/29 11:23:38 p. m. GMT-4","Auditoría / Contaduría Pública","19","Femenino","90","Menos de 3 horas semanales","Computadora portátil (Laptop) propia","Buena (WiFi con desconexiones ocasionales)","Básico (Ingreso de datos, sumas simples, dar formato)","Sé crear tablas dinámicas y segmentaciones con soltura","Frecuentemente como tutor de apoyo y consultas","3","3","2","3","Adecuada","4","Comprender lo que se pedía","Resolver el práctico en plataforma y enviar PDF con desarrollo","3","Que se realicen diferentes ejemplos de cada tema para comprenderlo mejor"
"2026/08/30 12:52:31 a. m. GMT-4","Auditoría / Contaduría Pública","19","Femenino","92","Entre 3 y 6 horas semanales","Smartphone (Teléfono celular)","Buena (WiFi con desconexiones ocasionales)","Básico (Ingreso de datos, sumas simples, dar formato)","Conozco el concepto pero me cuesta crearlas","Frecuentemente como tutor de apoyo y consultas","3","3","4 (Muy de acuerdo)","3","Adecuada","4","Preparar y subir el PDF","Trabajar únicamente en plataforma, sin envío de PDF","4","Me gustaría entender un poco más a la clase es que como avanzo estadística 1,me confundo un poco con estadística 2,eso más que todo quisiera que me ayude el licen a diferenciarlos más "
