"Marca temporal","1.Género","2.Edad  ","3.¿De qué tipo de colegio egresaste como bachiller?  ","4.¿A qué facultad perteneces?  ","5.¿Qué carrera estudias?  ","6.¿En qué semestre te encuentras actualmente?  ","7.¿Cuántas materias cursas actualmente este semestre?  ","8.¿Cuál es tu Promedio Ponderado Acumulado (PPA) del último semestre cursado?  ","9.¿Cuántas horas a la semana estudias fuera de tu horario de clases?  ","10.¿Cuál es tu estatura aproximada? (metros)  ","11.¿Trabajas actualmente?  ","12.¿Cuál es la distancia aproximada desde tu vivienda hasta la UAGRM?  "," 13.Tiempo promedio de traslado desde su vivienda a la UAGRM  "
"2026/06/22 11:11:07 p.m. GMT-4","Femenino","24","Colegio privado","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Ciencias Contables ","8vo semestre","5 a 6 materias","81","2","1.60","Sí, trabajo medio tiempo","Entre 5 y 10 km","10 "
"2026/06/23 1:31:32 a.m. GMT-4","Femenino","21","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","3 a 4 materias","63","4 ","1.52","Sí, trabajo medio tiempo","Entre 25 y 30 km","40 "
"2026/06/23 6:18:40 a.m. GMT-4","Femenino","22","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","7mo semestre","5 a 6 materias","77","6","1,59","Sí, trabajo por cuenta propia/emprendimiento","Entre 10 y 15 km","45"
"2026/06/23 8:12:04 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria publica ","5to semestre","5 a 6 materias","80","2","1.55","Sí, trabajo medio tiempo","Más de 50 km","1"
"2026/06/23 8:41:39 a.m. GMT-4","Femenino","28","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría Pública","10mo semestre","1 a 2 materias","98","3","1.53","Sí, trabajo tiempo completo","Entre 30 y 35 km","40"
"2026/06/23 9:25:56 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","4to semestre","5 a 6 materias","78","8","1,55","Sí, trabajo medio tiempo","Entre 40 y 45 km","1 "
"2026/06/23 10:16:01 a.m. GMT-4","Masculino","28","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Auditoría ","9no semestre","3 a 4 materias","52","3","1,80","Sí, trabajo medio tiempo","Entre 30 y 35 km","1 "
"2026/06/23 10:45:58 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","CONTADURÍA PÚBLICA","3er semestre","5 a 6 materias","No se","3","1.63","Sí, trabajo medio tiempo","Entre 5 y 10 km","1"
"2026/06/23 11:38:16 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","66","3 ","1.58","No trabajo actualmente","Entre 15 y 20 km","45 "
"2026/06/23 12:08:35 p.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","87","2 ","1.62","No trabajo actualmente","Entre 15 y 20 km","70"
"2026/06/23 12:14:10 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria Publica ","5to semestre","7 o más materias","86","1 ","1,53","No trabajo actualmente","Entre 10 y 15 km","40"
"2026/06/23 12:14:13 p.m. GMT-4","Femenino","22","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría ","5to semestre","5 a 6 materias","87","11","No sé ","Sí, trabajo tiempo completo","Entre 25 y 30 km","2"
"2026/06/23 12:15:02 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","86","5","1.68","No trabajo actualmente","Entre 45 y 50 km","2"
"2026/06/23 12:16:50 p.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","91","3 ","1.50","Sí, trabajo medio tiempo","Entre 10 y 15 km","2"
"2026/06/23 12:20:44 p.m. GMT-4","Femenino","19","Colegio de convenio","Facultad de Ciencias Exactas y Tecnología","Ingeniería de alimentos ","3er semestre","3 a 4 materias","64","2","1.59","Sí, trabajo medio tiempo","Entre 40 y 45 km","1 "
"2026/06/23 12:20:52 p.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría Pública ","5to semestre","7 o más materias","89","5","1.58 metros","No trabajo actualmente","Entre 10 y 15 km","40"
"2026/06/23 12:27:24 p.m. GMT-4","Masculino","19","Colegio de convenio","Facultad Politécnica","Mecánica General","3er semestre","3 a 4 materias","53😔 ","7 ","1.71","No trabajo actualmente","Entre 5 y 10 km","30 "
"2026/06/23 12:27:37 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial ","3er semestre","5 a 6 materias","82","24","1,66","No trabajo actualmente","Entre 10 y 15 km","40"
"2026/06/23 12:28:28 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial ","2do semestre","1 a 2 materias","85","1","1,65","Sí, trabajo tiempo completo","Entre 45 y 50 km","2"
"2026/06/23 12:33:03 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica automotriz ","3er semestre","3 a 4 materias","74","2","1.56m","Sí, trabajo medio tiempo","Entre 10 y 15 km","1"
"2026/06/23 12:39:04 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica automotriz ","2do semestre","1 a 2 materias","69","50 ","1.78","Sí, trabajo medio tiempo","Entre 25 y 30 km","30 "
"2026/06/23 12:43:12 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica Industrial ","3er semestre","5 a 6 materias","78","6","1.75","Sí, trabajo medio tiempo","Entre 10 y 15 km","2"
"2026/06/23 12:45:01 p.m. GMT-4","Masculino","20","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial","2do semestre","1 a 2 materias","60","3","1.73","Sí, trabajo medio tiempo","Entre 30 y 35 km","2"
"2026/06/23 12:45:47 p.m. GMT-4","Masculino","19","Colegio de convenio","Facultad Politécnica","Mecánica general ","3er semestre","3 a 4 materias","53😔 ","5","1.71","No trabajo actualmente","Entre 10 y 15 km","30"
"2026/06/23 12:46:00 p.m. GMT-4","Masculino","21","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial ","2do semestre","3 a 4 materias","Nose ","1 ","1.70","Sí, trabajo por cuenta propia/emprendimiento","Entre 10 y 15 km","35"
"2026/06/23 12:46:33 p.m. GMT-4","Masculino","20","Colegio fiscal/público","Facultad Politécnica","Mecánica Industrial ","3er semestre","5 a 6 materias","86","72","1.75","Sí, trabajo medio tiempo","Entre 30 y 35 km","2"
"2026/06/23 12:50:35 p.m. GMT-4","Femenino","27","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","5to semestre","5 a 6 materias","86","4","1.60","Sí, trabajo medio tiempo","Más de 50 km","90 "
"2026/06/23 12:52:33 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","1 a 2 materias","60","5","1.60","Sí, trabajo medio tiempo","Entre 20 y 25 km","1 "
"2026/06/23 12:52:49 p.m. GMT-4","Masculino","24","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría ","7mo semestre","5 a 6 materias","42","2","1.66","No trabajo actualmente","Entre 2 y 5 km","1.30"
"2026/06/23 12:54:50 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Auditoria","4to semestre","5 a 6 materias","87","4","1.56","Sí, trabajo medio tiempo","Más de 50 km","2"
"2026/06/23 12:54:53 p.m. GMT-4","Femenino","21","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","7mo semestre","7 o más materias","79","3","1.55","Sí, trabajo por cuenta propia/emprendimiento","Menos de 1 km","7"
"2026/06/23 12:55:31 p.m. GMT-4","Femenino","22","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública","4to semestre","1 a 2 materias","65","5","1.60","Sí, trabajo medio tiempo","Entre 10 y 15 km","1 "
